loss,grad_norm,learning_rate,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,reward,reward_std,frac_reward_zero_std,rewards/SummaryFormatReward/mean,rewards/SummaryFormatReward/std,rewards/SummaryHeaderReward/mean,rewards/SummaryHeaderReward/std,rewards/SummaryParsePenalty/mean,rewards/SummaryParsePenalty/std,rewards/SummaryDatasetReward/mean,rewards/SummaryDatasetReward/std,rewards/SummaryObjectsTotalReward/mean,rewards/SummaryObjectsTotalReward/std,rewards/SummaryContentF1Reward/mean,rewards/SummaryContentF1Reward/std,kl,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,epoch,global_step/max_steps,percentage,elapsed_time,remaining_time,memory(GiB),train_speed(iter/s),step
0.00185478,0.2976155,1e-07,129.92083588,60.3,230.4,0.0,3.77480335,0.06845173,0.43333334,0.88333334,0.18253238,0.76666667,0.36506476,0.0,0.0,0.88333334,0.18253238,0.48619134,0.3728051,0.67337414,0.29666451,0.04633267,0.0,0.0,0.0,0.0,0.0,0.22364217,140/1252,11.18%,41m 11s,5h 27m 11s,68.94,0.056642,140
0.00117402,1.77555346,1e-07,135.90833664,59.0,234.2,0.0,4.03013356,0.04713787,0.46666667,0.91666667,0.13437803,0.83333334,0.26875607,0.0,0.0,0.91666667,0.13437803,0.51892872,0.33924015,0.7290023,0.25026893,0.02934023,0.0,0.0,0.0,0.0,0.0,0.23961661,150/1252,11.98%,43m 26s,5h 19m 9s,68.94,0.057546,150
0.00174684,0.29854834,1e-07,139.66666946,65.2,242.0,0.0,4.27217445,0.12210048,0.36666667,0.94999999,0.11420805,0.89583334,0.24882852,-0.00833333,0.02823299,0.93749999,0.16285345,0.5701164,0.35261804,0.78919933,0.23076796,0.04368572,0.0,0.0,0.0,0.0,0.0,0.25559105,160/1252,12.78%,45m 35s,5h 11m 10s,68.94,0.058489,160
0.00213088,0.03617017,1e-07,134.0708374,68.8,230.5,0.0,4.06312256,0.06355929,0.40000001,0.91666667,0.13437803,0.83333334,0.26875607,0.0,0.0,0.91666667,0.13437803,0.54051836,0.31838363,0.75119667,0.23591243,0.05323914,0.0,0.0,0.0,0.0,0.0,0.2715655,170/1252,13.58%,47m 52s,5h 4m 43s,68.94,0.05918,170
0.00186167,0.29255,1e-07,161.36667175,64.7,289.0,0.0,4.09445345,0.06574045,0.36666667,0.93333333,0.1522774,0.86666667,0.3045548,-0.00416667,0.02041241,0.92916666,0.15569316,0.47642603,0.3606351,0.73124028,0.25877894,0.04655349,0.0,0.0,0.0,0.0,0.0,0.28753994,180/1252,14.38%,50m 10s,4h 58m 51s,68.94,0.059783,180
0.00426491,0.50629288,1e-07,144.41250534,56.8,260.8,0.0,3.67565084,0.11755041,0.41666668,0.86666666,0.27657044,0.72916668,0.55396914,-0.00833333,0.04082483,0.85416667,0.28681773,0.52792638,0.37257813,0.67210422,0.31951662,0.10658869,0.0,0.0,0.0,0.0,0.0,0.30351438,190/1252,15.18%,52m 24s,4h 52m 54s,68.94,0.060427,190
0.00272661,0.25587347,1e-07,148.81666946,76.9,255.2,0.0,3.82517478,0.05398487,0.41666668,0.88333333,0.21051673,0.76666667,0.42103347,0.0,0.0,0.88333333,0.21051673,0.5152042,0.34331159,0.70923927,0.27455763,0.06814592,0.0,0.0,0.0,0.0,0.0,0.31948882,200/1252,15.97%,54m 39s,4h 47m 30s,68.94,0.060984,200
0.00255556,0.14038813,1e-07,160.26667404,63.6,285.4,0.0,3.66400313,0.10091923,0.30000001,0.86666666,0.27657044,0.73333335,0.5531409,-0.00416667,0.02041241,0.86249999,0.2799862,0.45585216,0.35630611,0.67774369,0.28092819,0.06392888,0.0,0.0,0.0,0.0,0.0,0.33546326,210/1252,16.77%,1h 6m 44s,5h 31m 10s,68.94,0.05244,210
0.00250973,0.51501316,1e-07,142.85417175,62.3,255.4,0.0,4.18922536,0.06256384,0.36666667,0.93333333,0.12429304,0.86666667,0.24858609,0.0,0.0,0.93333333,0.12429304,0.60108632,0.34541949,0.75534881,0.23789039,0.06273311,0.0,0.0,0.0,0.0,0.0,0.3514377,220/1252,17.57%,1h 9m 2s,5h 23m 53s,68.96,0.053103,220
0.00251526,0.1925998,1e-07,137.42083855,56.3,246.7,0.0,3.94109271,0.08414363,0.38333334,0.89999999,0.16528344,0.80000001,0.3305669,-0.00416667,0.02041241,0.89583333,0.18569586,0.53692247,0.37215931,0.73096467,0.28979256,0.06285337,0.0,0.0,0.0,0.0,0.0,0.36741214,230/1252,18.37%,1h 11m 27s,5h 17m 29s,68.96,0.053649,230
0.00318757,0.24708915,9e-08,129.89167023,60.9,214.7,0.0,4.00893013,0.04673425,0.41666668,0.91666667,0.13437803,0.83333334,0.26875607,0.0,0.0,0.91666667,0.13437803,0.55025849,0.36430449,0.69213406,0.2567755,0.07967713,0.0,0.0,0.0,0.0,0.0,0.38338658,240/1252,19.17%,1h 13m 35s,5h 10m 17s,68.96,0.054358,240
0.00198919,0.18999463,9e-08,141.04167252,63.3,246.7,0.0,4.1967087,0.09202004,0.31666667,0.93333333,0.12429304,0.86666667,0.24858609,0.0,0.0,0.93333333,0.12429304,0.61026471,0.34440169,0.75824285,0.21806352,0.04972939,0.0,0.0,0.0,0.0,0.0,0.39936102,250/1252,19.97%,1h 15m 45s,5h 3m 38s,68.96,0.055,250
0.00224124,0.37633929,9e-08,153.97083588,72.9,261.1,0.0,4.18119187,0.11005561,0.26666667,0.93333333,0.12429304,0.86666667,0.24858609,-0.00416667,0.02041241,0.92916666,0.14470546,0.59977984,0.33123366,0.75630182,0.21585372,0.05604495,0.0,0.0,0.0,0.0,0.0,0.41533546,260/1252,20.77%,1h 17m 56s,4h 57m 22s,68.96,0.055596,260
0.0023739,0.3277339,9e-08,131.63333817,53.5,218.7,0.0,3.62566416,0.04000097,0.46666667,0.84999999,0.28665543,0.70000001,0.57331088,0.0,0.0,0.84999999,0.28665543,0.51060771,0.39845819,0.69536023,0.32236453,0.05935645,0.0,0.0,0.0,0.0,0.0,0.4313099,270/1252,21.57%,1h 20m 6s,4h 51m 22s,68.96,0.056172,270
0.00236827,0.24196541,9e-08,140.92083817,58.1,240.7,0.0,3.96154168,0.0632597,0.36666668,0.89999999,0.2284161,0.80000001,0.45683221,0.0,0.0,0.89999999,0.2284161,0.5636274,0.37647468,0.72972779,0.28748416,0.05918573,0.0,0.0,0.0,0.0,0.0,0.44728435,280/1252,22.36%,1h 22m 20s,4h 45m 50s,68.96,0.056675,280
0.00274683,0.29030022,9e-08,136.90833664,50.4,251.7,0.0,3.75002866,0.06448882,0.36666667,0.86666666,0.24142214,0.73333334,0.48284429,0.0,0.0,0.86666666,0.24142214,0.55878308,0.38323671,0.70397041,0.27901325,0.06866697,0.0,0.0,0.0,0.0,0.0,0.46325879,290/1252,23.16%,1h 24m 35s,4h 40m 36s,68.96,0.057139,290
0.00459139,0.18583027,9e-08,142.76667099,56.6,277.0,0.0,4.18892345,0.07487361,0.4,0.93333334,0.09630868,0.86666667,0.19261737,0.0,0.0,0.93333334,0.09630868,0.63422379,0.33558072,0.73847796,0.19670844,0.1147527,0.0,0.0,0.0,0.0,0.0,0.47923323,300/1252,23.96%,1h 26m 58s,4h 35m 58s,68.96,0.057492,300
0.00400518,0.25838676,9e-08,162.8833374,74.1,296.8,0.0,4.10701313,0.10284722,0.21666667,0.93333333,0.12429304,0.86666667,0.24858608,-0.00416667,0.02041241,0.92916666,0.14470546,0.51742942,0.34411571,0.72329842,0.21561617,0.09962773,0.0,0.0,0.0,0.0,0.0,0.49520767,310/1252,24.76%,1h 39m 37s,5h 2m 44s,68.96,0.05186,310
0.00357752,0.32820809,9e-08,158.40833435,75.8,329.6,0.0,4.02657619,0.07650141,0.25,0.91666666,0.19034675,0.83333334,0.3806935,0.0,0.0,0.91666666,0.19034675,0.53141259,0.34750469,0.71920304,0.24210975,0.08943186,0.0,0.0,0.0,0.0,0.0,0.51118211,320/1252,25.56%,1h 41m 59s,4h 57m 2s,68.97,0.052293,320
0.00317574,0.23889776,9e-08,152.6583374,67.4,279.7,0.0,4.04403708,0.08834669,0.33333334,0.91666667,0.13437803,0.83333334,0.26875607,-0.00416667,0.02041241,0.9125,0.13567723,0.56672203,0.36301879,0.72734243,0.22129861,0.07935343,0.0,0.0,0.0,0.0,0.0,0.52715655,330/1252,26.36%,1h 44m 38s,4h 52m 22s,68.97,0.052558,330
0.00316742,0.11395842,9e-08,153.88750458,44.7,297.9,0.0,3.30300014,0.05696072,0.41666668,0.79999999,0.33773082,0.60000001,0.67546167,0.0,0.0,0.79999999,0.33773082,0.47725052,0.37784925,0.66437479,0.32847713,0.07917581,0.0,0.0,0.0,0.0,0.0,0.54313099,340/1252,27.16%,1h 47m 9s,4h 47m 26s,68.97,0.052881,340
0.00325817,0.22592366,9e-08,172.30416946,59.5,403.1,0.0,4.11358836,0.07191139,0.35000001,0.93333333,0.1522774,0.86666667,0.3045548,0.0,0.0,0.93333333,0.1522774,0.52302742,0.32529687,0.71874115,0.22729515,0.08144901,0.0,0.0,0.0,0.0,0.0,0.55910543,350/1252,27.96%,1h 50m 20s,4h 44m 21s,68.97,0.052868,350
0.00411747,0.44050983,9e-08,143.08750534,64.8,429.8,0.00416667,3.944891,0.08708475,0.38333334,0.89583333,0.1928598,0.80000001,0.34489477,-0.00416667,0.02041241,0.89583333,0.1928598,0.56444414,0.39213416,0.72516875,0.25272679,0.10293337,0.0,0.0,0.0,0.0,0.0,0.57507987,360/1252,28.75%,1h 52m 53s,4h 39m 44s,68.97,0.053146,360
0.00191538,0.33807766,8e-08,137.95000381,67.4,242.5,0.0,4.27091975,0.08884645,0.40000001,0.95,0.08622369,0.9,0.17244738,-0.00833333,0.02823299,0.94166667,0.11445668,0.56961907,0.31240861,0.77777672,0.21658341,0.04789585,0.0,0.0,0.0,0.0,0.0,0.59105431,370/1252,29.55%,1h 55m 10s,4h 34m 33s,68.97,0.05354,370
0.0028851,0.12099768,8e-08,120.80417023,55.8,204.1,0.0,3.66402884,0.03873011,0.60000001,0.85,0.25867108,0.70000001,0.51734215,0.0,0.0,0.85,0.25867108,0.54217609,0.37130866,0.71794075,0.28573746,0.07218604,0.0,0.0,0.0,0.0,0.0,0.60702875,380/1252,30.35%,1h 57m 25s,4h 29m 26s,68.97,0.053937,380
0.00365106,0.23787859,8e-08,146.35000153,57.4,278.2,0.0,3.79008498,0.09193847,0.45000001,0.88333333,0.17536843,0.76666667,0.35073687,-0.00833333,0.02823299,0.875,0.20360142,0.54694587,0.38696113,0.67494512,0.2580874,0.09123667,0.0,0.0,0.0,0.0,0.0,0.62300319,390/1252,31.15%,2h 0m 6s,4h 25m 27s,68.97,0.05412,390
0.00388073,0.38676935,8e-08,140.73750458,54.0,228.0,0.0,4.19890711,0.06828261,0.36666667,0.93333333,0.1522774,0.86666667,0.30455482,0.0,0.0,0.93333333,0.1522774,0.63985914,0.336883,0.74564414,0.2483426,0.09697169,0.0,0.0,0.0,0.0,0.0,0.63897764,400/1252,31.95%,2h 2m 27s,4h 20m 50s,68.97,0.054441,400
0.00373354,0.21984744,8e-08,145.01667099,60.6,267.8,0.0,4.16672471,0.0652507,0.36666667,0.93333333,0.1522774,0.86666667,0.3045548,0.0,0.0,0.93333333,0.1522774,0.55915734,0.35020331,0.75381243,0.22375265,0.09330853,0.0,0.0,0.0,0.0,0.0,0.65495208,410/1252,32.75%,2h 14m 45s,4h 36m 45s,70.02,0.050707,410
0.00339169,0.26832792,8e-08,146.05000305,66.6,282.7,0.0,4.13277206,0.09216311,0.4,0.93333333,0.12429304,0.86666667,0.24858609,-0.00833333,0.02823299,0.925,0.15252603,0.54603031,0.35368501,0.74309003,0.22461486,0.08487323,0.0,0.0,0.0,0.0,0.0,0.67092652,420/1252,33.55%,2h 16m 56s,4h 31m 16s,70.02,0.051115,420
0.0033478,0.15502782,8e-08,137.38750458,66.4,291.7,0.0,4.12208395,0.09033946,0.38333334,0.93333333,0.1522774,0.86666667,0.3045548,-0.00416667,0.02041241,0.92916666,0.17268981,0.54779826,0.32307471,0.72318472,0.23088768,0.08370698,0.0,0.0,0.0,0.0,0.0,0.68690096,430/1252,34.35%,2h 19m 11s,4h 26m 4s,70.02,0.051488,430
0.00318257,0.19513668,8e-08,140.09167175,60.6,249.7,0.0,3.77304778,0.08462007,0.36666668,0.88333333,0.21051673,0.76666667,0.42103348,-0.00416667,0.02041241,0.87916666,0.21181593,0.45705363,0.30752273,0.6945209,0.2826207,0.07959237,0.0,0.0,0.0,0.0,0.0,0.7028754,440/1252,35.14%,2h 21m 44s,4h 21m 34s,70.02,0.051739,440
0.0022897,0.0976881,8e-08,124.11667175,68.4,212.3,0.0,4.0568804,0.04655275,0.55000001,0.9,0.17244738,0.80000001,0.34489477,0.0,0.0,0.9,0.17244738,0.667289,0.32040006,0.77323579,0.23092315,0.05728305,0.0,0.0,0.0,0.0,0.0,0.71884984,450/1252,35.94%,2h 23m 53s,4h 16m 26s,70.02,0.052124,450
0.00289646,0.22157335,8e-08,142.32917175,59.6,252.1,0.0,3.69646049,0.08513809,0.46666668,0.88333333,0.21051673,0.76666667,0.42103347,-0.0375,0.07955446,0.84583333,0.25997027,0.50323116,0.37893963,0.66151144,0.29371344,0.07235777,0.0,0.0,0.0,0.0,0.0,0.73482428,460/1252,36.74%,2h 26m 15s,4h 11m 48s,70.02,0.052421,460
0.00227208,0.22186644,7e-08,139.22500305,51.6,251.6,0.0,3.65351558,0.06862141,0.45000001,0.84999999,0.28665543,0.70000001,0.57331087,-0.00833333,0.02823299,0.84166666,0.31488842,0.52578127,0.32509278,0.73229148,0.30226223,0.05683685,0.0,0.0,0.0,0.0,0.0,0.75079872,470/1252,37.54%,2h 28m 34s,4h 7m 11s,70.02,0.052725,470
0.00166058,0.39942384,7e-08,128.91667023,57.6,214.1,0.0,4.43253326,0.03574323,0.60000001,0.94999999,0.11420805,0.90000001,0.2284161,0.0,0.0,0.94999999,0.11420805,0.71534768,0.32309037,0.84985932,0.19688513,0.04152311,0.0,0.0,0.0,0.0,0.0,0.76677316,480/1252,38.34%,2h 30m 45s,4h 2m 28s,70.02,0.053066,480
0.00259245,0.18055649,7e-08,133.87083969,58.4,221.0,0.0,3.87733026,0.04070433,0.53333334,0.88333333,0.21051673,0.76666667,0.42103348,0.0,0.0,0.88333333,0.21051673,0.57212003,0.34598003,0.73293677,0.27423254,0.06483348,0.0,0.0,0.0,0.0,0.0,0.7827476,490/1252,39.14%,2h 33m 0s,3h 57m 57s,70.02,0.053371,490
0.00204423,0.41806999,7e-08,143.90417023,59.0,255.3,0.0,4.14999266,0.03780702,0.45000001,0.93333333,0.1522774,0.86666667,0.30455481,0.0,0.0,0.93333333,0.1522774,0.51564218,0.32405259,0.75883809,0.23531439,0.05108813,0.0,0.0,0.0,0.0,0.0,0.79872204,500/1252,39.94%,2h 35m 20s,3h 53m 37s,70.02,0.053645,500
0.00205224,0.1090748,7e-08,147.59167023,54.1,279.4,0.0,3.77795975,0.02926385,0.61666667,0.86666666,0.27657044,0.73333335,0.55314089,0.0,0.0,0.86666666,0.27657044,0.55539787,0.38360774,0.73359402,0.29832698,0.05133895,0.0,0.0,0.0,0.0,0.0,0.81469649,510/1252,40.73%,2h 46m 31s,4h 2m 17s,70.02,0.051041,510
0.00174501,0.28868377,7e-08,165.75417175,56.4,335.4,0.0,4.3773304,0.09923667,0.31666667,0.96666666,0.0761387,0.93333334,0.1522774,-0.00833333,0.02823299,0.95833333,0.10437168,0.58600597,0.37900649,0.78432721,0.22432104,0.04361282,0.0,0.0,0.0,0.0,0.0,0.83067093,520/1252,41.53%,2h 49m 4s,3h 58m 0s,70.02,0.051259,520
0.00313916,0.13912196,7e-08,147.24583893,73.6,248.0,0.0,3.85528877,0.07072457,0.45,0.88333333,0.17536843,0.76666667,0.35073687,0.0,0.0,0.88333333,0.17536843,0.57315769,0.3626675,0.71037645,0.26858429,0.07850366,0.0,0.0,0.0,0.0,0.0,0.84664537,530/1252,42.33%,2h 51m 19s,3h 53m 23s,70.02,0.051557,530
0.00258322,0.23850693,7e-08,140.24583664,53.6,240.2,0.0,4.20409927,0.08846441,0.45000001,0.93333333,0.1522774,0.86666667,0.3045548,-0.00833333,0.02823299,0.92499999,0.15844063,0.63660271,0.35837204,0.76913108,0.27215155,0.06457948,0.0,0.0,0.0,0.0,0.0,0.86261981,540/1252,43.13%,2h 53m 37s,3h 48m 55s,70.02,0.051836,540
